sample,ZP3_log2_TPM
GTEX-ZVT3-0011-R11b-SM-57WBI,1.105
GTEX-13OVL-3026-SM-5IJF1,3.644
GTEX-1445S-0011-R5a-SM-5PNUS,-0.0725
GTEX-13OVJ-0011-R7a-SM-5L3G1,1.0915
GTEX-13OVH-0011-R11b-SM-5KM4X,1.7744
GTEX-11WQC-0011-R10a-SM-57WCT,0.7321
GTEX-11NV4-2126-SM-5N9DS,-0.5756
GTEX-13X6I-0011-R3b-SM-5P9HM,0.346
GTEX-Y111-2826-SM-4TT3O,-0.2845
GTEX-13O3O-0011-R3b-SM-5KM3R,-0.4131
GTEX-ZE9C-0011-R9a-SM-4WWCY,0.9568
GTEX-13X6K-0011-R11a-SM-5P9F5,3.8461
GTEX-12ZZX-0011-R10b-SM-5DUWK,1.1184
GTEX-12WSA-0011-R8a-SM-5P9EX,1.7575
GTEX-X4XX-0011-R1B-SM-3P622,0.9642
GTEX-13JVG-0011-R3b-SM-5LZXF,-0.5125
GTEX-ZAB4-0011-R6a-SM-4SOKD,1.9073
GTEX-N7MT-0011-R2a-SM-2I3GI,3.1261
GTEX-13OW6-2926-SM-5KM29,0.4016
GTEX-12ZZW-0011-R5a-SM-5DUVN,1.949
GTEX-S7SE-0011-R4A-SM-2XCDB,0.9789
GTEX-ZXG5-0011-R10a-SM-57WDD,-0.8863
GTEX-13FLV-0011-R6a-SM-5KLZ4,2.7487
GTEX-ZAB4-0011-R7a-SM-4SOKE,2.7183
GTEX-OHPN-0011-R10A-SM-33HBU,-0.2671
GTEX-13RTJ-0011-R7b-SM-5P9JS,1.7828
GTEX-12WSC-2926-SM-5BC5Z,0.1648
GTEX-13OVJ-0011-R10b-SM-5L3HT,0.6145
GTEX-12ZZX-0011-R5a-SM-5HL89,1.3109
GTEX-145LS-0011-R7a-SM-5PNWM,1.9968
GTEX-N7MT-1226-SM-2TC6K,3.3689
GTEX-X261-0011-R6B-SM-4E3J8,2.9929
GTEX-13X6K-0011-R4b-SM-5P9HO,2.4386
GTEX-1445S-0011-R8a-SM-5PNWX,0.7579
GTEX-1128S-2826-SM-5N9DI,-0.8863
GTEX-WWYW-0011-R6A-SM-3NB3G,2.694
GTEX-147GR-0011-R4a-SM-5S2V2,0.7832
GTEX-12WSB-0011-R6b-SM-5GU6J,4.4693
GTEX-ZAK1-3026-SM-5S2MJ,0.4016
GTEX-13S7M-0011-R7a-SM-5O9DK,1.4174
