sample,ZP3_log2_TPM
GTEX-139TU-0226-SM-5J1NM,0.4761
GTEX-146FH-2426-SM-5Q5EW,3.0163
GTEX-ZTSS-1126-SM-5985O,0.7407
GTEX-X5EB-0626-SM-46MVQ,-3.0469
GTEX-13NYB-0726-SM-5MR4J,1.7229
GTEX-ZYVF-2526-SM-5E45C,1.9034
GTEX-13FHP-0011-R7b-SM-5LZYI,0.5955
GTEX-ZE7O-1526-SM-5J1NH,1.3901
GTEX-11EMC-3326-SM-5P9JH,-0.0725
GTEX-ZYVF-0526-SM-5E43E,2.3843
GTEX-13X6I-1526-SM-5SIAC,0.7999
GTEX-U3ZH-0126-SM-4DXUK,1.1706
GTEX-13N2G-2226-SM-5IJCU,1.6695
GTEX-ZDXO-0426-SM-4WKF6,0.8408
GTEX-13112-0011-R7b-SM-5DUVW,2.1047
GTEX-13N11-0526-SM-5IJFI,1.7229
GTEX-12WSA-0011-R5b-SM-5GU5I,1.595
GTEX-145LV-0226-SM-5S2QG,-2.7274
GTEX-S7SE-0826-SM-4AT4D,1.4335
GTEX-XXEK-1026-SM-4BRUW,0.2881
GTEX-132NY-0326-SM-5IJBL,2.7249
GTEX-ZT9X-0008-SM-4YCD7,1.5216
GTEX-POMQ-0626-SM-3P61E,0.9716
GTEX-ZF28-3026-SM-4WKHP,2.6487
GTEX-OOBJ-1026-SM-3NB2L,0.9115
GTEX-P78B-1626-SM-2S1O1,-0.9132
GTEX-ZUA1-0011-R7b-SM-4YCDP,1.8201
GTEX-11ZVC-0011-R9a-SM-57WC5,1.6604
GTEX-1399U-1526-SM-5J2N7,1.6093
GTEX-13FH7-2126-SM-5L3DJ,-4.6082
GTEX-SUCS-0226-SM-32PLQ,-0.3752
GTEX-11DXX-0008-SM-5Q5B8,0.4761
GTEX-SIU7-1326-SM-4BRWW,3.74
GTEX-WZTO-0011-R4A-SM-3NMC7,2.5288
GTEX-XAJ8-1126-SM-47JYA,4.1384
GTEX-11O72-0626-SM-5PNYE,2.1345
GTEX-13PVQ-1926-SM-5L3GN,-0.7588
GTEX-OIZH-1326-SM-3NB1H,2.2753
GTEX-13NZ9-0826-SM-5J1NI,-0.5332
GTEX-13FLV-1226-SM-5IJBZ,-0.2845
GTEX-ZDYS-0626-SM-5J2N5,0.4125
GTEX-14DAQ-2526-SM-5RQIO,0.7407
GTEX-Y8LW-1526-SM-5IFHL,3.0654
GTEX-13PL6-0526-SM-5L3G6,1.9377
GTEX-QV44-2226-SM-447A3,1.1641
GTEX-ZF2S-1526-SM-5S2OO,1.5902
GTEX-RUSQ-0926-SM-47JWU,3.1523
GTEX-WHSE-0426-SM-4M1XO,1.8282
GTEX-117YX-1126-SM-5H128,-2.3147
GTEX-OHPK-1626-SM-2YUN3,-0.2671
GTEX-Q734-1626-SM-48U1B,2.167
GTEX-WWYW-2726-SM-4MVOP,2.5388
GTEX-12696-1126-SM-5FQTI,-9.9658
GTEX-13O61-0126-SM-5KM4P,0.9862
GTEX-13PVR-2326-SM-5QGR1,2.5924
GTEX-139YR-2426-SM-5J1OB,0.9935
GTEX-1211K-0426-SM-5FQTP,2.0147
GTEX-PWCY-0726-SM-48TCS,1.816
GTEX-13FH7-1226-SM-5IJFK,1.1184
GTEX-ZXG5-0326-SM-5GICH,-0.7346
GTEX-111VG-1926-SM-5GIDO,5.4536
GTEX-Q2AG-0005-SM-5SI7F,-0.6193
GTEX-XMK1-2626-SM-4B65R,0.537
GTEX-NPJ7-0011-R11A-SM-2I3E8,1.5165
GTEX-13FH7-0226-SM-5IFGG,1.4228
GTEX-13OVL-0011-R6a-SM-5L3G4,3.4843
GTEX-POYW-1226-SM-5LU5O,3.5742
GTEX-13OW6-0526-SM-5L3HY,0.2881
GTEX-11DZ1-2026-SM-5A5KG,3.1939
GTEX-T6MO-1626-SM-32QOM,1.7316
GTEX-13NYB-0011-R1b-SM-5KM4F,0.3685
