Cancer,Transcript,Tx_Label,Feature,Rho,P_value,N,FDR
BLCA,ENST00000336517.8,FL canonical (9-exon),M2_Macrophage,0.0069,0.8890071703217666,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),T_cell_exhaustion,0.0093,0.8511112613996887,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),Cytolytic_activity,-0.0275,0.5808110699183526,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),Treg,0.0026,0.9585198030485873,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),IFN_gamma,0.0616,0.21495686269769046,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),Checkpoint,0.0,0.9992973562595286,407,0.9992973562595286
BLCA,ENST00000336517.8,FL canonical (9-exon),Myeloid,0.0529,0.2869656936201111,407,0.9992973562595286
BLCA,ENST00000466960.5,Retained-intron,M2_Macrophage,-0.084,0.09071354435904944,407,0.105832468418891
BLCA,ENST00000466960.5,Retained-intron,T_cell_exhaustion,-0.1224,0.01349580098603587,407,0.031490202300750364
BLCA,ENST00000466960.5,Retained-intron,Cytolytic_activity,-0.0787,0.11289699150749954,407,0.11289699150749954
BLCA,ENST00000466960.5,Retained-intron,Treg,-0.0974,0.049636703834594974,407,0.06949138536843297
BLCA,ENST00000466960.5,Retained-intron,IFN_gamma,-0.1539,0.001844257241902435,407,0.006454900346658523
BLCA,ENST00000466960.5,Retained-intron,Checkpoint,-0.1093,0.02740310472756171,407,0.04795543327323299
BLCA,ENST00000466960.5,Retained-intron,Myeloid,-0.1613,0.0010903013950571694,407,0.006454900346658523
BLCA,ENST00000394860.3,5-exon truncated,M2_Macrophage,0.0244,0.6240209507598542,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,T_cell_exhaustion,0.0031,0.9503955192674935,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,Cytolytic_activity,0.0042,0.9330929355243122,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,Treg,0.0041,0.9338500719796214,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,IFN_gamma,-0.0438,0.3778084148157216,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,Checkpoint,0.0058,0.9076516281806355,407,0.9503955192674935
BLCA,ENST00000394860.3,5-exon truncated,Myeloid,-0.0204,0.6808849349758614,407,0.9503955192674935
BLCA,ENST00000467555.1,Short isoform,M2_Macrophage,0.1398,0.0047100592219349365,407,0.005495069092257426
BLCA,ENST00000467555.1,Short isoform,T_cell_exhaustion,0.1623,0.0010142419851293454,407,0.003549846947952709
BLCA,ENST00000467555.1,Short isoform,Cytolytic_activity,0.1433,0.0037658926738955664,407,0.005272249743453793
