Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.3569147,-1.533886,0.001039501,0.02446868,0.237,111/194,40.11%,MARK4;FARP1;NOTCH2;TLK1;CDC27;ACTN4;TUBGCP5;NCK1;RFC1;SASS6;TUBD1;CDC42;ITSN1;STAU1;SEPTIN9;ARHGAP29;CKAP5;ROCK1;WASF2;RANBP9;CEP72;INCENP;RASA1;FGD6;ARAP3;GEMIN4;CLASP1;RABGAP1;KIFAP3;EPB41;DOCK4;SMC1A;SMC4;SOS1;DLG1;KIF2C;MYH10;KIF1B;ECT2;MAPRE1;CSNK1D;WASL;PPP4R2;CD2AP;CDC42EP4;LATS1;ARHGEF12;TPX2;ALS2;CDC42BPA;VCL;KNTC1;PLEKHG2;KIF4A;ABI1;RHOF;FLNA;CAPZB;CEP57;BUB1;RALBP1;RAB3GAP1;SPTBN1;CYTH2;MID1;FBXO5;KPTN;LMNB1;CENPF;MAP1S;PKD2;FSCN1;RACGAP1;ARHGAP5;TTK;SORBS2;AURKA;APC;NEK2;KIF23;PLK1;ABL1;CLIP1;MYH9;PRC1;ARHGEF3;NUSAP1;TAOK2;STK38L;CCNB2;NDC80;EZR;PAFAH1B1;YWHAE;SAC3D1;KIF5B;PREX1;EPB41L2;KIF20B;LRPPRC;KIF3B;TIAM1;BCL2L11;CDK1;KIF22;SHROOM2;TUBA4A;KIF11;ARFGEF1;ALMS1;BIRC5
prerank,MSigDB_Hallmark_2020__Myogenesis,0.2754231,1.486952,0.0,0.06166817,0.063,33/151,14.40%,APLNR;GADD45B;CDKN1A;BAG1;STC2;TNNT1;MYOM1;ACSL1;MYL3;LDB3;SPHK1;BIN1;HSPB2;MYLK;PKIA;HSPB8;TPD52L1;SPARC;HBEGF;SGCD;SORBS3;KIFC3;PRNP;MYOZ1;PPP1R3C;MYH7;SCD;APOD;MAPK12;TPM2;TCAP;ERBB3;MYOM2
prerank,MSigDB_Hallmark_2020__p53 Pathway,0.2611763,1.480854,0.0,0.04841915,0.066,35/182,9.62%,CDKN1A;SLC19A2;FOS;DDIT3;DDIT4;STOM;KLF4;TXNIP;DRAM1;PHLDA3;RPS27L;BTG2;TSC22D1;NUPR1;SPHK1;OSGIN1;ATF3;ADA;PTPRE;ZBTB16;CYFIP2;SESN1;IER3;EPS8L2;JUN;NDRG1;CD81;TPD52L1;BMP2;HBEGF;FGF13;ABCC5;VWA5A;PIDD1;CCNG1
prerank,MSigDB_Hallmark_2020__UV Response Dn,-0.353508,-1.458721,0.01195652,0.04962555,0.464,51/138,29.37%,AGGF1;ATP2B1;PEX14;NOTCH2;CDK13;SPOP;PLPP3;SCAF8;DYRK1A;DDAH1;MAPK14;PTPN21;PRDM2;PIK3R3;ATP2B4;ADGRL2;ATRN;GJA1;DLG1;MIOS;TFPI;ATXN1;DBP;NR3C1;EFEMP1;APBB2;IGFBP5;PIAS3;MAGI2;NRP1;TENT4A;COL11A1;CAP2;SRI;SCHIP1;CDC42BPA;BCKDHB;PHF3;PIK3CD;CDON;ERBB2;NFIB;IGF1R;COL5A2;ICA1;ANXA2;SFMBT1;DMAC2L;TGFBR2;NR1D2;LAMC1
prerank,MSigDB_Hallmark_2020__heme Metabolism,-0.3385726,-1.421181,0.01290323,0.06527299,0.595,52/162,23.09%,NNT;EIF2AK1;UROD;MOSPD1;CDC27;FBXO9;CDR2;ATG4A;NUDT4;DCAF10;RAD23A;CLIC2;BMP2K;GMPS;VEZF1;RIOK3;TCEA1;FECH;BCAM;ABCG2;HDGF;GCLM;MARCHF2;BPGM;TOP1;EPB41;LPIN2;BNIP3L;BLVRB;OPTN;DAAM1;CCDC28A;SDCBP;SLC6A8;BACH1;NR3C1;GAPVD1;ARL2BP;DCAF11;ISCA1;ADIPOR1;ARHGEF12;NFE2L1;MFHAS1;TSPAN5;SLC2A1;GDE1;RANBP10;PRDX2;FOXJ2;KLF3;PIGQ
prerank,MSigDB_Hallmark_2020__Myc Targets V2,-0.3777826,-1.39869,0.0345679,0.07601859,0.676,27/57,33.29%,EXOSC5;MRTO4;GRWD1;SRM;UTP20;PRMT3;TFB2M;NIP7;WDR43;SORD;DDX18;PLK4;MYBBP1A;AIMP2;UNG;MCM4;IMP4;DCTPP1;CBX3;CDK4;NOP2;PLK1;PA2G4;HSPD1;NOLC1;FARSA;MCM5
prerank,MSigDB_Hallmark_2020__Bile Acid Metabolism,-0.3464602,-1.327381,0.06565064,0.1391656,0.893,26/80,19.09%,LONP2;PHYH;CROT;ABCD3;SCP2;GNPAT;SLC27A5;PEX19;PEX11A;EPHX2;ABCA5;PEX12;PEX7;AR;PEX13;GCLM;EFHC1;BCAR3;PXMP2;PIPOX;OPTN;PEX6;ATXN1;NUDT12;BBOX1;SLC29A1
prerank,MSigDB_Hallmark_2020__Fatty Acid Metabolism,-0.3204368,-1.316466,0.05210643,0.1419511,0.915,37/130,19.71%,ALDH3A2;ACADM;UROD;BPHL;CRAT;MDH1;DLST;SDHC;CPT2;IDH3B;HMGCL;SMS;EHHADH;SDHD;ECH1;ECI1;PRDX6;ACOX1;ACOT8;PTPRG;YWHAH;FH;MDH2;LDHA;KMT5A;HCCS;METAP1;GPD2;DLD;ECI2;SUCLA2;NTHL1;ODC1;HSDL2;PDHA1;SUCLG2;ENO3
prerank,MSigDB_Hallmark_2020__Notch Signaling,-0.3980487,-1.300131,0.1151832,0.151247,0.938,12/31,20.26%,JAG1;NOTCH2;PSENEN;HEYL;PSEN2;SKP1;NOTCH3;TCF7L2;APH1A;PPARD;CUL1;NOTCH1
prerank,MSigDB_Hallmark_2020__TGF-beta Signaling,-0.3552874,-1.292829,0.1086187,0.1521646,0.949,28/53,35.47%,SKI;ID3;TRIM33;BCAR3;SLC20A1;HDAC1;SMURF2;TGFBR1;PPM1A;FKBP1A;ACVR1;ID2;TGIF1;RHOA;BMPR2;ARID4B;CTNNB1;SPTBN1;ENG;LEFTY2;APC;SMAD1;UBE2D3;SMURF1;IFNGR2;PPP1CA;LTBP2;SMAD3
