Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.1890123,1.032183,0.3466667,0.5513345,0.859,34/159,14.68%,ANGPTL4;USH1C;KLF4;MAP7;TMEM176B;TMEM100;TMEM176A;GUCY1A1;ADAM8;EPB41L3;RABGAP1L;ANKH;SEMA3B;BMP2;HBEGF;KIF5C;IL1B;PLVAP;IGF2;VWA5A;GPRC5B;GABRA3;SCG5;SPP1;RGS16;APOD;HSD11B1;HKDC1;SLPI;GFPT2;LY96;TMEM158;TRAF1;CXCR4
prerank,MSigDB_Hallmark_2020__Estrogen Response Late,0.1907757,1.000238,0.5,0.6036736,0.909,24/155,11.80%,BAG1;TST;HR;FOS;SGK1;ZFP36;KLF4;DHRS2;PLAAT3;NBL1;TPBG;DNAJC12;OLFM1;HSPB8;SEMA3B;TPD52L1;EGR3;SCUBE2;IGSF1;SCARB1;DUSP2;MDK;PPIF;PDLIM3
prerank,MSigDB_Hallmark_2020__Allograft Rejection,-0.2386697,-0.982301,0.515847,0.7021289,1.0,36/129,29.39%,GLMN;TPD52;NCK1;HIF1A;F2R;HDAC9;UBE2N;NOS2;RPS19;GALNT1;TRAF2;AKT1;CDKN2A;EIF3J;EIF4G3;ABCE1;EGFR;MTIF2;TGFB2;HLA-DQA1;BCL10;DARS1;ABI1;FLNA;JAK2;CCND2;BCAT1;WARS1;MRPL3;BRCA1;SOCS5;CSK;IL16;HLA-DOA;INHBB;ELF4
prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,-0.2247192,-0.9446396,0.6318036,0.7725281,1.0,52/170,32.79%,ADAR;PSMB2;GBP4;ZNFX1;HIF1A;MX1;OAS2;XAF1;CMPK2;CMTR1;OASL;EIF2AK2;UPP1;PNPT1;ISG15;HERC6;CFH;OAS3;BPGM;TNFSF10;IFI27;TDRD7;TRIM14;SPPL2A;IFI44L;HLA-DQA1;TOR1B;RSAD2;IFIH1;RIPK1;SRI;MX2;JAK2;PLSCR1;DDX60;WARS1;LATS2;IFITM3;VCAM1;EPSTI1;HELZ2;NOD1;NCOA3;CASP8;SAMHD1;PARP14;NUP93;IFI44;TNFAIP6;SAMD9L;AUTS2;TRIM25
prerank,MSigDB_Hallmark_2020__Hedgehog Signaling,0.2420255,0.9375603,0.6068376,0.7680356,0.964,10/30,20.59%,L1CAM;CNTFR;SCG2;CRMP1;THY1;SLIT1;VLDLR;PML;NRCAM;RTN1
prerank,MSigDB_Hallmark_2020__Apical Surface,0.2235572,0.8630407,0.7095588,0.9202736,0.988,6/28,12.38%,AFAP1L2;MAL;SULF2;SRPX;B4GALT1;THY1
prerank,MSigDB_Hallmark_2020__IL-2/STAT5 Signaling,0.1575833,0.8574552,0.8548387,0.8699067,0.988,47/161,23.16%,GADD45B;RHOB;SELL;CAPN3;GSTO1;CDKN1C;APLP1;RABGAP1L;PTH1R;MAFF;MAP3K8;NDRG1;CD81;BMP2;LRIG1;PTRH2;SLC29A2;PRNP;MYC;AHR;SPP1;IL3RA;RGS16;PHLDA1;TRAF1;SLC2A3;IL4R;DENND5A;PLIN2;AGER;NFIL3;NFKBIZ;SNX14;XBP1;HIPK2;MXD1;MAPKAPK2;CD83;TNFRSF1B;SOCS1;KLF6;RNH1;GABARAPL1;SH3BGRL2;TGM2;SYNGR2;IFNGR1
prerank,MSigDB_Hallmark_2020__Apical Junction,-0.2005783,-0.8493852,0.7817204,0.9662298,1.0,53/165,32.42%,CRAT;ACTN4;MAPK14;AKT2;VWF;PIK3R3;CDH11;CTNND1;RASA1;CAP1;ADAM23;TUBG1;YWHAH;EGFR;EXOC4;DLG1;MYH10;PLCG1;WASL;PIK3CB;CD34;ACTN1;SHC1;VCL;SYMPK;CDH4;AMIGO1;RHOF;ITGB1;INPPL1;TNFRSF11B;ADAM9;ITGA10;THBS3;JUP;FSCN1;VCAM1;ARHGEF6;MPZL1;PECAM1;RRAS;CNN2;HADH;MYL12B;CNTN1;ARPC2;MSN;VASP;ACTG2;MYH9;FBN1;TAOK2;ITGB4
prerank,MSigDB_Hallmark_2020__Complement,-0.1907513,-0.8043362,0.8653017,1.0,1.0,46/158,33.76%,USP8;PPP4C;ERAP2;CALM3;F8;USP14;CALM1;CFH;RAF1;USP16;GNAI3;DGKH;RNF4;CASP9;DOCK4;CASP10;PREP;AKAP10;LTA4H;GNB4;DYRK2;GPD2;RABIF;JAK2;TIMP2;PLSCR1;CBLB;ADAM9;PLAT;PRDM4;PRCP;PRKCD;COL4A2;DUSP6;KIF2A;FN1;LGALS3;PIK3CA;ANG;PRSS36;LAMP2;ZEB1;CD46;PCLO;PDP1;GNB2
prerank,MSigDB_Hallmark_2020__Reactive Oxygen Species Pathway,-0.2236969,-0.7937823,0.8046398,0.9997619,1.0,15/46,28.16%,ERCC2;G6PD;SCAF4;PRDX6;LAMTOR5;GCLM;PRDX2;OXSR1;HHEX;EGLN2;GPX4;GSR;PRDX1;GLRX2;CDKN2D
prerank,MSigDB_Hallmark_2020__Cholesterol Homeostasis,0.1641622,0.783522,0.9272727,0.9177958,0.994,16/70,19.66%,MVK;ABCA2;ATF3;LDLR;STARD4;SEMA3B;MVD;SCD;PMVK;IDI1;CBS;FASN;NFIL3;SREBF2;GNAI1;FDFT1
prerank,MSigDB_Hallmark_2020__Apoptosis,-0.1842293,-0.7594998,0.9142237,1.0,1.0,49/142,32.47%,PLPPR4;F2R;CTH;DAP;ROCK1;ANXA1;PPP3R1;APP;DAP3;PPT1;CASP9;SLC20A1;TNFSF10;WEE1;PSEN2;BNIP3L;CDK2;TGFB2;DFFA;EMP1;PMAIP1;DPYD;BCL10;PAK1;CCND2;TIMP2;CTNNB1;ERBB2;PLAT;GPX4;BAX;CREBBP;GSR;CASP2;IFITM3;BRCA1;BMF;LEF1;RELA;LGALS3;CASP8;BTG3;IGF2R;BCAP31;DCN;RETSAT;CAV1;IGFBP6;ETF1
prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,-0.1798924,-0.7411487,0.9475983,1.0,1.0,36/150,25.78%,CROT;BPHL;AP4B1;CDO1;GART;MTHFD1;MCCC2;PGD;UPP1;GSTM4;ECH1;ENTPD5;ACOX1;LPIN2;NFS1;ALAS1;SLC35D1;BLVRB;TGFB2;SSR3;MARCHF6;PPARD;KARS1;ID2;ADH5;TMBIM6;SLC35B1;APOE;TKFC;ATP2A2;ARPP19;BCAT1;NMT1;GSR;JUP;ACP1
prerank,MSigDB_Hallmark_2020__Wnt-beta Catenin Signaling,-0.2134022,-0.7250493,0.8721519,0.9908383,1.0,18/38,37.19%,JAG1;SKP2;PSEN2;NCSTN;PPARD;CUL1;NOTCH1;ADAM17;CCND2;CTNNB1;NUMB;FZD1;LEF1;HDAC2;MAML1;TP53;DVL2;FZD8
prerank,MSigDB_Hallmark_2020__Epithelial Mesenchymal Transition,-0.1726091,-0.7233351,0.9570354,0.962458,1.0,56/172,32.98%,COPA;NOTCH2;PTHLH;CDH2;PVR;LAMA2;GPX7;CDH11;VIM;OXTR;ITGAV;GJA1;CALU;ECM2;GPC1;PRRX1;GAS1;FBN2;SLC6A8;CADM1;COL8A2;ID2;COL11A1;PLOD1;CAP2;FUCA1;FLNA;ITGB1;ECM1;TNFRSF11B;LOX;FMOD;NNMT;COL4A2;COL5A2;MATN3;SGCB;FSTL1;COL5A1;CALD1;IGFBP2;VCAM1;SNTB1;FN1;LAMC1;DCN;LOXL2;EMP3;COL4A1;FERMT2;FBN1;PFN2;NT5E;ITGB5;MATN2;PLOD2
prerank,MSigDB_Hallmark_2020__Coagulation,-0.1670453,-0.6542237,0.9727891,0.9771281,1.0,24/89,31.61%,PEF1;GNG12;VWF;F8;ANXA1;CFH;CASP9;CD9;PREP;LTA4H;RABIF;ISCU;RAC1;ADAM9;PLAT;LEFTY2;DUSP6;PECAM1;FN1;DUSP14;CRIP2;ANG;LAMP2;FBN1
