PMID,DOI,Title,Journal,Year,FirstAuthor,Keywords,Abstract
42470709,10.1016/j.colsurfb.2026.115951,Self-propelled double-silicon-shell-coated Janus nanomotors integrating PTT/CDT/GT therapy to enhance synergistic ferroptosis in cancer therapy.,"Colloids and surfaces. B, Biointerfaces",2026,"Wang, Yuqian",Deep tumor penetration; Ferroptosis; Janus Nanomotor; Nitric oxide; Synergistic therapy,"The effective induction of ferroptosis represents a novel strategy for cancer treatment. This study developed a near-infrared (NIR)-responsive Janus nanomotor (CP@SiO(2)@RSiO(2)&PMO@SNP) that synergistically amplifies ferroptosis through dual glutathione (GSH) depletion. The nanomotor comprises a rough silica head incorporating copper-doped Prussian blue (CP) and a mesoporous organosilica tail loaded with sodium nitroprusside (SNP). Under 808 nm irradiation, the photothermal effects of the CP co"
42461566,10.1007/s10067-026-08261-1,Platelet ferroptosis promotes oxidized DNA release and SLE progression.,Clinical rheumatology,2026,"Zhou, Zhirui",Ferroptosis; Glutathione peroxidase 4; Oxidized DNA; Platelets; Systemic lupus erythematosus,"OBJECTIVES: Ferroptosis is a recently identified type of regulated necrosis, and glutathione peroxidase 4 (GPX4) has been recognized as a key enzyme that protects against ferroptosis. However, the role of platelet ferroptosis in systemic lupus erythematosus (SLE) has not been explored. This study aimed to investigate the role of GPX4-mediated platelet ferroptosis in SLE. METHODS: GPX4 protein expression in platelets was detected by Western blot and immunofluorescence analysis. The correlation of"
42459838,10.3389/fcell.2026.1855681,"Research progress of cuproptosis, ferroptosis, apoptosis, and autophagy in knee osteoarthritis.",Frontiers in cell and developmental biology,2026,"Shang, He",apoptosis; autophagy; chondrocyte; crosstalk; cuproptosis; disease-modifying osteoarthritis drugs; ferroptosis; knee osteoarthritis,"Knee osteoarthritis (KOA) is a highly prevalent chronic degenerative joint disorder characterized by progressive articular cartilage degeneration, chondrocyte death, and extracellular matrix degradation. Accumulating evidence indicates that dysregulated programmed cell death (PCD) pathways-including cuproptosis, ferroptosis, and apoptosis-along with autophagic dysfunction play pivotal roles in KOA pathogenesis. Cuproptosis is a recently identified copper-dependent cell death modality triggered b"
42456917,10.1016/j.abb.2026.110942,Simultaneous induction of apoptosis and ferroptosis by a novel thiolato-bridged manganese(I)-based CO-releasing molecule in pancreatic and prostate cancer cells.,Archives of biochemistry and biophysics,2026,"Anil, Aswathy","Humans; *Apoptosis/drug effects; *Ferroptosis/drug effects; Male; *Prostatic Neoplasms/pathology/metabolism/drug therapy; *Pancreatic Neoplasms/pathology/metabolism/drug therapy; *Manganese/chemistry/pharmacology; Cell Line, Tumor; *Antineoplastic Agents/pharmacology/chemistry; Reactive Oxygen Species/metabolism; Sulfhydryl Compounds/chemistry; PC-3 Cells; Apoptosis; Ferroptosis; Pancreatic cancer; Prostate cancer; S-MnC","Due to the invasive nature of cancer cells, therapies targeting a single cell death pathway alone often encounter drug resistance; therefore, the development of novel therapeutic strategies, such as the dual induction of apoptosis and ferroptosis, is warranted. This study investigated the anticancer mechanism of the newly synthesised thiolato-bridged manganese-based CO-releasing molecule (S-MnC) in highly metastatic pancreatic (PANC-1) and prostate (PC-3) cancer cells. The myoglobin assay showed"
42450198,10.3390/ijms27135931,The Role of Apoptosis and Ferroptosis in Primary Mitochondrial Diseases: Mechanisms and Pathogenesis.,International journal of molecular sciences,2026,"Kolotova, Anastasia",*Ferroptosis; Humans; *Apoptosis; Animals; *Mitochondrial Diseases/metabolism/pathology/genetics; Mitochondria/metabolism/pathology; Lipid Peroxidation; Iron/metabolism; Reactive Oxygen Species/metabolism; apoptosis; ferroptosis; iron metabolism; lipid peroxidation; mitochondria; mitochondrial diseases; molecular crosstalk; oxidative stress; regulated cell death; tissue specificity,"Mitochondrial diseases have traditionally been viewed as energy deficiencies, but current evidence positions mitochondria as central regulators of multiple cell death pathways. This review systematically analyzes the molecular mechanisms of apoptosis and ferroptosis in the context of both primary mitochondrial diseases-caused by mutations in mtDNA or nuclear DNA directly affecting oxidative phosphorylation-and secondary mitochondrial dysfunction associated with broader pathological conditions. A"
42437282,10.1016/j.jot.2026.101168,An SSK1-loaded decellularized annulus fibrosus matrix-based PD hydrogel alleviates intervertebral disc degeneration through modulation of NF-kappaB signaling and ferroptosis.,Journal of orthopaedic translation,2026,"Sun, Guantong",Decellularized matrix; Ferroptosis; Hydrogel; Intervertebral disc degeneration; NF-kappaB signaling; SSK1,"BACKGROUND: Intervertebral disc degeneration (IDD) is a major cause of low back pain and is closely associated with inflammatory activation, extracellular matrix (ECM) degradation, cellular senescence, and ferroptosis in nucleus pulposus cells (NPCs). In this study, we aimed to clarify the therapeutic effects and underlying mechanisms of SSK1 and to develop an injectable SSK1-loaded hydrogel for localized and sustained treatment of IDD. METHODS: An interleukin-1beta (IL-1beta)-induced NPC degene"
42435348,10.1021/acs.molpharmaceut.6c00719,Multifunctional Polydopamine Nanoparticles to Alleviate Oxidative Stress and Inhibit Ferroptosis for Cisplatin-Induced Acute Kidney Injury Therapy.,Molecular pharmaceutics,2026,"Zhang, Jieke",*Oxidative Stress/drug effects; *Polymers/chemistry; *Ferroptosis/drug effects; *Indoles/chemistry; *Acute Kidney Injury/drug therapy/chemically induced/pathology/metabolism; Humans; Animals; *Nanoparticles/chemistry; *Cisplatin/adverse effects; Reactive Oxygen Species/metabolism; Antioxidants/pharmacology/chemistry; Male; Apoptosis/drug effects; Cell Line; Mice; Kidney/drug effects/pathology; Hyaluronic Acid/chemistry; Drug Carriers/chemistry; acute kidney injury; ferroptosis; multitarget therapy; oxidative stress; renal-targeted nanodelivery system,"Acute kidney injury (AKI) is a clinical syndrome with high incidence and mortality involving oxidative stress, ferroptosis, and inflammation, yet there are no clinically effective interventions. Herein, HA@PDA@EGCG nanoparticles were constructed using polydopamine (PDA) as carriers, loaded with epigallocatechin gallate (EGCG) via pi-pi stacking, and further surface-modified with hyaluronic acid (HA) through electrostatic interaction. The nanoparticles had uniform morphology with a size of approx"
42433355,10.3389/fimmu.2026.1848122,Ferroptosis-mediated metabolic reprogramming as a driver of the inflammatory microenvironment in neutrophilic asthma: a perspective.,Frontiers in immunology,2026,"Song, Mei-Zhen",Humans; *Ferroptosis/immunology; *Asthma/metabolism/immunology/drug therapy/pathology/etiology; *Neutrophils/immunology/metabolism; Metabolic Reprogramming; Animals; Inflammation/immunology/metabolism; Lipid Peroxidation; Cellular Microenvironment/immunology; ferroptosis; glucocorticoid resistance; lipid peroxidation; metabolic reprogramming; neutrophilic asthma,"Neutrophilic asthma is a severe asthma subtype marked by persistent airway neutrophilia, Th17-skewed inflammation, and poor responsiveness to glucocorticoids. The mechanisms driving chronic neutrophilic inflammation and corticosteroid resistance remain incompletely understood. Ferroptosis is an iron-dependent form of regulated cell death driven by lipid peroxidation and redox imbalance. Emerging evidence suggests that ferroptosis is closely linked to cellular metabolism and immune regulation in "
42433193,10.1002/adhm.71437,Provoking Potent Cellular Ferroptosis in the Thermo-Sensitive S-Phase via CPT-11 Loaded Janus Nanomedicine for Enhanced Cancer Therapy.,Advanced healthcare materials,2026,"Yang, Shiya",antioxidant; catalase; glutathione; hydrogen peroxide; materials science; nanomedicine; photothermal therapy,"Ferroptosis is a promising anticancer strategy, yet its efficacy is limited by insufficient cellular hydrogen peroxide (H(2)O(2)) levels and intrinsic antioxidant defenses. Meanwhile, mild photothermal therapy (mPTT) enhances ferroptosis by accelerating lipid peroxidation. Herein, we designed a Janus nanoplatform that specifically arrests cells in thermo-vulnerable S-phase to maximize the ferroptosis-sensitizing capacity of mPTT. A Janus architecture with a unique morphology was engineered to in"
42432681,10.1186/s12964-026-03014-8,8-gingerol from Zingiber officinale induces ER stress-mediated ferroptosis and apoptosis in ovarian cancer involving TRPV1 activation.,Cell communication and signaling : CCS,2026,"Kim, Tae Woo",8-Gingerol; ER stress; Ferroptosis; JMJD2C; TRPV1,"BACKGROUND: Ovarian cancer remains among the most lethal gynecological malignancies, primarily due to the persistent challenges of chemotherapy resistance and limited effectiveness of existing therapeutic strategies. METHODS: To evaluate the anti-tumor activity of 8-gingerol, its effects on cell viability, glutathione (GSH) levels, and the activities of caspase-3, lactate dehydrogenase (LDH), reactive oxygen species (ROS), and malondialdehyde (MDA) were examined in ovarian cancer cell lines. The"
42427686,10.64898/2026.06.29.733391,The MIRO1-BAX Complex Dictates Life and Death at the Mitochondrial Gate.,bioRxiv : the preprint server for biology,2026,"Sainz, Alva G",,"BAX macropores in the outer mitochondrial membrane (OMM) are canonical mediators of apoptosis, but whether the same pore structure can drive distinct cell death pathways remains unclear. Here, we identify the OMM protein MIRO1 as a context-specific modulator of BAX activity. Mechanistically, MIRO1 binds BAX via MIRO1's N-terminal domain to promote macropore formation and the release of mitochondrial DNA (mtDNA) into the cytoplasm, triggering the STING-pIRF3 signaling axis. In glioma cells, this "
42422176,10.3389/fcvm.2026.1797182,Different forms of cardiomyocyte death in post-myocardial infarction ventricular remodeling: mechanisms and therapeutic strategies.,Frontiers in cardiovascular medicine,2026,"Wang, Zhixin",cardiomyocyte death; myocardial infarction; non-programmed cell death; programmed cell death; ventricular remodeling,"Myocardial infarction (MI) is one of the leading causes of heart failure and cardiovascular mortality worldwide, with post-infarction ventricular remodeling serving as a central pathophysiological mechanism driving the progression toward heart failure, a process that markedly impairs long-term quality of life and contributes to adverse clinical outcomes. Recent studies have gradually elucidated the distinct and overlapping roles of multiple forms of cardiomyocyte death in this process, forming a"
42419183,10.1016/j.biomaterials.2026.124413,Genetically programmed engineered nanodevices trigger cascade reinforcement between AMPK and cGAS-STING activation for colon cancer sonoimmunotherapy.,Biomaterials,2026,"Zhang, Yijia",AMPK activation; Colorectal cancer; Ferroptosis; Immunotherapy; Nanomedicine; cGAS-STING,"Immune checkpoint blockade (ICB) has shown clinical promise in cancer immunotherapy, but colorectal cancer (CRC) remains difficult to treat due to a complex immunosuppressive tumor microenvironment (TME). This TME features dysregulated CD47/SIRPalpha and PD-1/PD-L1 pathways, T cell exhaustion, and infiltration of immunosuppressive cells. Therefore, novel strategies to reshape TME are critically needed. Here we developed bioinspired nanodevices (SPCM@DMgTi-ADM) for CRC immunotherapy. These nanode"
42411334,10.1039/d6bm00434b,TRPV-1-targeted Fe-phenolate network provokes apoptosis and ferroptosis to treat non-small cell lung cancer.,Biomaterials science,2026,"Wang, Ziyi",,"Ferroptosis has emerged as a potential therapeutic target for chemotherapy of cancer. However, non-small cell lung cancer (NSCLC) exhibits high tolerance to ferroptosis due to inherent resistance. To increase NSCLC vulnerability, we present a TRPV1-targeting approach that self-delivers intracellular irons and TRPV1 agonist (N-oleoyldopamine, OLDA) to provoke simultaneous apoptosis and ferroptosis in NSCLC. Intracellular release of OLDA activates TRPV1 channels, triggering Ca(2+) overload and mit"
42409781,10.1038/s41420-026-03214-8,The emerging Nexus of STING signaling and ferroptosis: from mechanisms to therapeutic opportunities.,Cell death discovery,2026,"Lin, Xixi",,"The cyclic GMP-AMP synthase-stimulator of interferon genes (cGAS-STING) pathway, a cornerstone of innate immunity, and ferroptosis, an iron-dependent form of regulated cell death driven by lipid peroxidation, have traditionally been studied as distinct entities. However, emerging evidence reveals a complex and bidirectional crosstalk between these two pathways with profound implications for disease pathogenesis and therapy. This review systematically synthesizes the current understanding of the "
42569466,10.1016/j.bioactmat.2026.07.043,Single-cell transcriptome-guided biomimetic magnetothermal hydrogel microspheres for multimodal eradication of residual glioblastoma.,Bioactive materials,2026,"Wu, Nan",Droplet microfluidics; Magnetothermal hydrogels; Single-cell RNA sequencing; Transcriptomic bioinformatics; Tumor microenvironments,"Incomplete resection and rapid postoperative recurrence remain major challenges in glioblastoma (GBM) treatment. Inspired by the self-healing microduct architecture of pine resin, we developed an injectable magnetothermal-responsive hierarchical hydrogel microsphere platform, HGM + Multi(+), for spatiotemporally programmed magnetothermal ablation, anti-angiogenic blockade, and targeted chemotherapy. The system integrates T7-modified, pH-responsive temozolomide nanocarriers in GelMA microspheres "
42568087,10.1186/s42466-026-00515-2,A mechanosensitive gene signature associated with immune landscape and survival in glioma: a multi-cohort analysis.,Neurological research and practice,2026,"Yang, Tianxue",Glioma; Immune landscape; Mechanosensitive genes; Prognostic signature; Tumor microenvironment,"BACKGROUND: Glioma is characterized by substantial molecular heterogeneity and poor clinical outcomes. Emerging evidence suggests that mechanotransduction-related pathways may influence tumor progression and immune remodeling. However, the prognostic relevance of mechanosensitive genes in glioma remains unclear. METHODS: RNA-sequencing data and clinical information from the TCGA, CGGA-301, CGGA-325, and GSE16011 cohorts were analyzed. Mechanosensitive genes were identified from curated gene sets"
42553785,10.1093/noajnl/vdag182,"Intercellular adhesion molecule 1 links glioblastoma biology to a scalable prognostic model integrating clinical, imaging, and molecular features.",Neuro-oncology advances,2026,"Gandhi, Shreya",ICAM1; glioblastoma; multi-omics; prognostic; tumor microenvironment,"BACKGROUND: Glioblastoma (GB) exhibits marked tumor microenvironmental heterogeneity, contributing to both therapy resistance and poor survival outcomes. Intercellular adhesion molecule 1 (ICAM1) is an inflammation-associated adhesion molecule implicated in immune-stromal interactions, but its clinical and biological significance in GB remains incompletely defined. METHODS: We performed ICAM1 immunohistochemistry, bulk RNA sequencing, DNA methylation analysis, single-nucleus RNA sequencing, and "
42553060,10.3389/fonc.2026.1888793,"Lipid metabolic plasticity in glioblastoma: mechanisms, tumor microenvironment remodeling, and therapeutic opportunities.",Frontiers in oncology,2026,"Wu, Weiqi",glioblastoma; lipid metabolism reprogramming; metabolic plasticity; therapeutic resistance; tumor microenvironment,"Glioblastoma (GBM) is the most aggressive primary brain tumor and remains associated with poor prognosis despite multimodal treatment. Increasing evidence indicates that lipid metabolic reprogramming is a critical hallmark of GBM progression and therapeutic resistance. Beyond supporting membrane biosynthesis and energy production, dysregulated lipid metabolism profoundly influences tumor plasticity, oxidative stress adaptation, immune suppression, stemness maintenance, and ferroptosis sensitivit"
42548670,10.3389/fimmu.2026.1820802,Single-cell analysis reveals KLF10-high macrophages induced by glioblastoma cells are associated with tumor progression.,Frontiers in immunology,2026,"Zhang, Xiaodong","Humans; *Glioblastoma/pathology/genetics/metabolism/immunology; *Kruppel-Like Transcription Factors/genetics/metabolism; Single-Cell Analysis; *Tumor-Associated Macrophages/metabolism/immunology; *Brain Neoplasms/pathology/genetics/metabolism/immunology; Disease Progression; Female; Cell Proliferation; *Early Growth Response Transcription Factors/genetics/metabolism; Gene Expression Regulation, Neoplastic; Cell Line, Tumor; Prognosis; Cell Movement; Male; *Macrophages/metabolism; Biomarkers, Tumor/genetics; KLF10; recurrent glioblastoma; single-cell RNA sequencing; tumor microenvironment; tumor-associated macrophages","BACKGROUND: Glioblastoma (GBM) is the most common and aggressive primary malignant tumor of the adult central nervous system, with nearly 90% of cases recurring within two years despite standard surgery, radiotherapy, and chemotherapy. Tumor-associated macrophages (TAMs) play critical roles in GBM recurrence, but their characteristics in recurrent GBM remain insufficiently defined. Kruppel-like factor 10 (KLF10) regulates metabolism, mitochondrial function, proliferation, and apoptosis; however,"
42542877,10.1002/ccs3.70041,The suppressor of cytokine signaling 3 regulates glioma stem cell maintenance and immune microenvironment through signal transducer and activator of transcription 3 signaling.,Journal of cell communication and signaling,2026,"Wang, Jingtao",SOCS3; STAT3 signaling; apoptosis resistance; glioma stem cells; scRNA-seq; tumor microenvironment,"This study aims to elucidate the role of suppressor of cytokine signaling 3 (SOCS3) in glioma stem cells (GSCs) via single-cell RNA sequencing (scRNA-seq), focusing on its regulation of STAT3-mediated self-renewal, apoptosis resistance, and tumor microenvironment (TME) remodeling. ScRNA-seq data from 19 high-grade glioma patients were analyzed using Seurat, Harmony, and SingleR for clustering, annotation, and SOCS3 stratification (SOCS3-High: n = 4; SOCS3-Low: n = 15). Differential gene analysis"
42542235,10.1016/j.clim.2026.110755,Identification of TNFRSF12A as a key regulator of stemness and immunosuppression in a novel glioma subtype via multi-omics analysis and experimental validation.,"Clinical immunology (Orlando, Fla.)",2026,"Sun, Shengyu",Glioma stem cells; Immunosuppression; M2 polarization; Stemness,"Glioma stem cells (GSCs) drive tumor heterogeneity, therapy resistance, and immunosuppression. This study identified molecular subtypes of glioma based on stemness-related genes and validated a key hub gene through bioinformatics and experiments. A stemness gene set was compiled from single-cell data, GeneCards, and MSigDB. Consensus clustering (NMF) on 157 glioma samples from GSE4290 revealed two subtypes (C1 and C2), with C1 showing higher stemness scores. C1 exhibited enriched DNA repair, pro"
42541929,10.1016/j.prp.2026.156634,Immune-angiogenic crosstalk in glioblastoma: Mechanisms and therapeutic opportunities.,"Pathology, research and practice",2026,"Supty, Sumaya Islam",Angiogenesis; Glioblastoma; Immune evasion; Neuro-oncology; Therapeutic strategies; Tumor microenvironment,"Glioblastoma (GBM) remains the most aggressive and therapeutically challenging primary brain tumor and is characterized by strong heterogeneity, rapid progression, and poor clinical outcomes. Accumulating evidence indicates that the immune-angiogenic axis is a major contributor to GBM progression and therapeutic resistance, coordinating dynamic interactions among tumor cells, immune populations, and the vascular network within the tumor microenvironment (TME). Aberrant angiogenesis, driven prima"
42539254,10.64898/2026.07.24.740598,scOPE identifies which driver-associated expression programs transfer from bulk tumors to single cells.,bioRxiv : the preprint server for biology,2026,"Ashford, Andrew J",cancer genomics; copy-number variation; driver mutations; latent representations; single-cell RNA sequencing; transfer learning,"Single-cell RNA sequencing (scRNA-seq) resolves the phenotypic heterogeneity of tumors but rarely observes the somatic mutations that drive it: a variant is legible only where its gene is expressed, the mutant allele is transcribed, and reads span the variant site, so an absent variant read is fundamentally ambiguous. Bulk tumor cohorts have the opposite profile-matched genotype and expression for hundreds of patients, but no cellular resolution. We present scOPE (single-cell Oncological Predict"
