Transcript,Tumor_median,Normal_median,Tumor_mean,Normal_mean,MannWhitney_p,Effect_r,Tumor_n,Normal_n,FDR
ENST00000336517.8,0.40301139349493065,0.26604877131705185,0.4401484905338719,0.32900810218794063,2.6544892358987537e-139,-0.22341541688517164,9186,7792,1.8581424651291277e-138
ENST00000467555.1,0.00020358264813306773,0.0005083976821241731,0.05947037313021769,0.025837011739336387,2.89757719653283e-123,0.20996246687777265,9186,7792,1.0141520187864905e-122
ENST00000479793.5,0.0005855645845826156,0.0009460893710067841,0.027351438796461125,0.06298286546813597,4.206643985622402e-117,0.2045594978475861,9186,7792,9.815502633118938e-117
ENST00000416245.5,0.0037575627509993216,0.0028818649513384816,0.007711261127831002,0.021000431444427516,4.734035257536871e-61,0.14658387842225762,9186,7792,8.284561700689526e-61
ENST00000466960.5,0.32517718293684983,0.4396353671612372,0.37093167258473086,0.43676264106463664,1.742997498867476e-53,0.13690322710078862,9186,7792,2.440196498414466e-53
ENST00000394860.3,0.017660786563114154,0.0007830715712630106,0.030659552369329664,0.03278318617420891,1.3021399470556486e-30,-0.10226992039041649,9186,7792,1.5191632715649234e-30
ENST00000394857.7,0.027946917024760133,0.001795340708552121,0.06372721145755775,0.09162576192131391,0.0027558678832022353,0.02662079570688547,9186,7792,0.0027558678832022353
