Left_out_cancer,Score,K_cancers,Pooled_rho,CI_low,CI_high,Q,I2,CI_crosses_zero
GBM,IFN_gamma,31,0.0857,0.0651,0.1063,0.53,0.0,NO
GBM,Checkpoint,31,0.0558,0.0351,0.0764,0.43,0.0,NO
GBM,Myeloid,31,0.1094,0.0888,0.1298,0.64,0.0,NO
HNSC,M2_Macrophage,31,0.1336,0.1128,0.1544,0.69,0.0,NO
HNSC,T_cell_exhaustion,31,0.057,0.0359,0.0781,0.39,0.0,NO
HNSC,Cytolytic_activity,31,0.0026,-0.0186,0.0238,0.19,0.0,YES
HNSC,Treg,31,0.0535,0.0324,0.0746,0.38,0.0,NO
HNSC,IFN_gamma,31,0.0888,0.0678,0.1098,0.52,0.0,NO
HNSC,Checkpoint,31,0.0625,0.0414,0.0835,0.46,0.0,NO
HNSC,Myeloid,31,0.1124,0.0915,0.1332,0.64,0.0,NO
KICH,M2_Macrophage,31,0.1378,0.1175,0.158,0.66,0.0,NO
KICH,T_cell_exhaustion,31,0.0544,0.0338,0.0749,0.39,0.0,NO
KICH,Cytolytic_activity,31,-0.0026,-0.0232,0.018,0.2,0.0,YES
KICH,Treg,31,0.0527,0.0321,0.0732,0.38,0.0,NO
KICH,IFN_gamma,31,0.0859,0.0654,0.1064,0.52,0.0,NO
KICH,Checkpoint,31,0.0597,0.0391,0.0802,0.46,0.0,NO
KICH,Myeloid,31,0.1116,0.0911,0.1319,0.58,0.0,NO
KIRC,M2_Macrophage,31,0.1279,0.107,0.1487,0.68,0.0,NO
KIRC,T_cell_exhaustion,31,0.0505,0.0294,0.0716,0.4,0.0,NO
KIRC,Cytolytic_activity,31,-0.0042,-0.0254,0.0169,0.2,0.0,YES
KIRC,Treg,31,0.0477,0.0266,0.0688,0.38,0.0,NO
KIRC,IFN_gamma,31,0.0813,0.0603,0.1023,0.53,0.0,NO
KIRC,Checkpoint,31,0.0553,0.0341,0.0763,0.47,0.0,NO
KIRC,Myeloid,31,0.1007,0.0797,0.1216,0.62,0.0,NO
KIRP,M2_Macrophage,31,0.1363,0.1158,0.1568,0.69,0.0,NO
KIRP,T_cell_exhaustion,31,0.0545,0.0337,0.0753,0.4,0.0,NO
KIRP,Cytolytic_activity,31,0.0002,-0.0207,0.0211,0.19,0.0,YES
KIRP,Treg,31,0.0544,0.0335,0.0752,0.37,0.0,NO
KIRP,IFN_gamma,31,0.0847,0.0639,0.1054,0.53,0.0,NO
KIRP,Checkpoint,31,0.06,0.0391,0.0808,0.47,0.0,NO
KIRP,Myeloid,31,0.1071,0.0864,0.1277,0.63,0.0,NO
LGG,M2_Macrophage,31,0.1241,0.1032,0.1449,0.65,0.0,NO
LGG,T_cell_exhaustion,31,0.0419,0.0208,0.063,0.37,0.0,NO
LGG,Cytolytic_activity,31,-0.012,-0.0331,0.0092,0.18,0.0,YES
LGG,Treg,31,0.0439,0.0228,0.065,0.36,0.0,NO
LGG,IFN_gamma,31,0.0789,0.0578,0.0999,0.52,0.0,NO
LGG,Checkpoint,31,0.0454,0.0243,0.0665,0.43,0.0,NO
LGG,Myeloid,31,0.0982,0.0773,0.1191,0.6,0.0,NO
LIHC,M2_Macrophage,31,0.1322,0.1116,0.1528,0.68,0.0,NO
LIHC,T_cell_exhaustion,31,0.0513,0.0304,0.0722,0.4,0.0,NO
LIHC,Cytolytic_activity,31,-0.0038,-0.0247,0.0172,0.2,0.0,YES
LIHC,Treg,31,0.0496,0.0287,0.0705,0.38,0.0,NO
LIHC,IFN_gamma,31,0.0799,0.059,0.1007,0.52,0.0,NO
LIHC,Checkpoint,31,0.0564,0.0354,0.0772,0.47,0.0,NO
LIHC,Myeloid,31,0.1076,0.0868,0.1283,0.63,0.0,NO
LUAD,M2_Macrophage,31,0.1436,0.1228,0.1643,0.67,0.0,NO
LUAD,T_cell_exhaustion,31,0.0569,0.0358,0.078,0.39,0.0,NO
LUAD,Cytolytic_activity,31,-0.0042,-0.0254,0.0169,0.2,0.0,YES
LUAD,Treg,31,0.0573,0.0362,0.0784,0.37,0.0,NO
LUAD,IFN_gamma,31,0.0859,0.0648,0.1068,0.53,0.0,NO
LUAD,Checkpoint,31,0.0619,0.0408,0.083,0.46,0.0,NO
LUAD,Myeloid,31,0.1121,0.0911,0.1329,0.64,0.0,NO
LUSC,M2_Macrophage,31,0.1433,0.1226,0.164,0.67,0.0,NO
LUSC,T_cell_exhaustion,31,0.0626,0.0415,0.0836,0.37,0.0,NO
LUSC,Cytolytic_activity,31,0.0053,-0.0158,0.0264,0.18,0.0,YES
LUSC,Treg,31,0.0624,0.0413,0.0834,0.34,0.0,NO
LUSC,IFN_gamma,31,0.0956,0.0746,0.1165,0.49,0.0,NO
LUSC,Checkpoint,31,0.0674,0.0464,0.0885,0.44,0.0,NO
LUSC,Myeloid,31,0.1195,0.0986,0.1403,0.61,0.0,NO
MESO,M2_Macrophage,31,0.1373,0.117,0.1575,0.68,0.0,NO
MESO,T_cell_exhaustion,31,0.0547,0.0341,0.0753,0.39,0.0,NO
MESO,Cytolytic_activity,31,-0.0018,-0.0225,0.0188,0.2,0.0,YES
MESO,Treg,31,0.0541,0.0335,0.0747,0.35,0.0,NO
MESO,IFN_gamma,31,0.0862,0.0657,0.1066,0.52,0.0,NO
MESO,Checkpoint,31,0.0598,0.0392,0.0803,0.46,0.0,NO
MESO,Myeloid,31,0.1105,0.0901,0.1309,0.63,0.0,NO
OV,M2_Macrophage,31,0.1381,0.1174,0.1587,0.69,0.0,NO
OV,T_cell_exhaustion,31,0.054,0.033,0.075,0.4,0.0,NO
OV,Cytolytic_activity,31,-0.0031,-0.0242,0.0179,0.2,0.0,YES
OV,Treg,31,0.0519,0.0309,0.0728,0.38,0.0,NO
OV,IFN_gamma,31,0.0868,0.0659,0.1077,0.53,0.0,NO
OV,Checkpoint,31,0.0585,0.0375,0.0795,0.47,0.0,NO
OV,Myeloid,31,0.1107,0.0898,0.1314,0.64,0.0,NO
PAAD,M2_Macrophage,31,0.1392,0.1188,0.1595,0.67,0.0,NO
PAAD,T_cell_exhaustion,31,0.056,0.0353,0.0767,0.38,0.0,NO
PAAD,Cytolytic_activity,31,-0.0004,-0.0212,0.0204,0.19,0.0,YES
PAAD,Treg,31,0.0534,0.0327,0.0741,0.38,0.0,NO
