Transcript,Tumor_median,Normal_median,Tumor_mean,Normal_mean,Tumor_Q1,Tumor_Q3,Normal_Q1,Normal_Q3,Tumor_n,Normal_n,MannWhitney_p,Effect_r,FDR,Tumor_over_Normal_ratio
ENST00000336517.8,0.40301139349493065,0.2660487713170518,0.4401484905338719,0.32900810218794063,0.16808303941801703,0.7042982729974376,0.07378894657340142,0.5355236905183736,9186,7792,2.6540691977397853e-139,-0.22341547276880136,1.8578484384178497e-138,1.5148026863640718
ENST00000467555.1,0.00020358264813300002,0.00050839768212415,0.05947037313021766,0.02583701173933634,8.016295233101779e-05,0.030828511979292973,0.000261304595711675,0.001239119704325075,9186,7792,2.8954231436732966e-123,0.20996274629592127,1.0133981002856538e-122,0.40043976456069963
ENST00000479793.5,0.0005855645845826,0.0009460893710067,0.027351438796461087,0.06298286546813595,0.00010485476300352501,0.02813731984456335,0.000347572608549375,0.06032054704428462,9186,7792,4.204662804464137e-117,0.2045596794693827,9.810879877082987e-117,0.618931575100058
ENST00000416245.5,0.0037575627509993,0.0028818649513384,0.007711261127830957,0.021000431444427467,0.0003490985167257,0.009965825022225525,0.000524384965842275,0.026742443667767474,9186,7792,4.731819785347017e-61,0.14658412989859138,8.280684624357281e-61,1.303864967459425
ENST00000466960.5,0.32517718293684983,0.4396353671612372,0.37093167258473086,0.43676264106463664,0.045624720718834,0.6445234645529276,0.12811205365741293,0.7149390667523554,9186,7792,1.7423199975773861e-53,0.1369034506353075,2.4392479966083403e-53,0.7396520098838872
ENST00000394860.3,0.0176607865631141,0.00078307157126295,0.03065955236932962,0.03278318617420887,0.000247097647347275,0.04472276485376135,0.000346073106251975,0.01975136145217755,9186,7792,1.3024480326771591e-30,-0.10226973876861978,1.519522704790019e-30,22.55322145666776
ENST00000394857.7,0.0279469170247601,0.00179534070855205,0.0637272114575577,0.09162576192131389,0.00024955673123495004,0.0863379479555197,0.00039728685438685,0.12017455485169465,9186,7792,0.002755725979174911,0.02662093541595978,0.002755725979174911,15.56635845866794
