Analysis,Score,Split,K,Pooled_rho,CI_low,CI_high,Q,I2,Train_rho,Val_rho,Same_direction,Val_CI_crosses_zero
L2CO,score_Myeloid,leave:CESC+DLBC,30,0.1122,0.0914,0.1328,118.99,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+ESCA,30,0.1416,0.1209,0.1622,130.6,0.778,,,,
L2CO,score_Myeloid,leave:CESC+ESCA,30,0.1153,0.0944,0.1361,115.02,0.748,,,,
L2CO,score_M2_Macrophage,leave:CESC+GBM,30,0.138,0.1173,0.1587,135.59,0.786,,,,
L2CO,score_Myeloid,leave:CESC+GBM,30,0.1118,0.0909,0.1326,118.89,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+HNSC,30,0.1353,0.1141,0.1564,134.37,0.784,,,,
L2CO,score_Myeloid,leave:CESC+HNSC,30,0.115,0.0937,0.1363,117.9,0.754,,,,
L2CO,score_M2_Macrophage,leave:CESC+KICH,30,0.1396,0.1189,0.1601,133.42,0.783,,,,
L2CO,score_Myeloid,leave:CESC+KICH,30,0.114,0.0933,0.1347,115.12,0.748,,,,
L2CO,score_M2_Macrophage,leave:CESC+KIRC,30,0.1294,0.1081,0.1505,124.32,0.767,,,,
L2CO,score_Myeloid,leave:CESC+KIRC,30,0.1029,0.0815,0.1242,106.58,0.728,,,,
L2CO,score_M2_Macrophage,leave:CESC+KIRP,30,0.1381,0.1172,0.1589,135.6,0.786,,,,
L2CO,score_Myeloid,leave:CESC+KIRP,30,0.1095,0.0885,0.1305,116.96,0.752,,,,
L2CO,score_M2_Macrophage,leave:CESC+LGG,30,0.1254,0.1042,0.1466,111.22,0.739,,,,
L2CO,score_Myeloid,leave:CESC+LGG,30,0.1004,0.079,0.1217,98.18,0.705,,,,
L2CO,score_M2_Macrophage,leave:CESC+LIHC,30,0.1338,0.1128,0.1547,131.52,0.779,,,,
L2CO,score_Myeloid,leave:CESC+LIHC,30,0.11,0.0889,0.1311,117.94,0.754,,,,
L2CO,score_M2_Macrophage,leave:CESC+LUAD,30,0.1456,0.1245,0.1666,127.5,0.773,,,,
L2CO,score_Myeloid,leave:CESC+LUAD,30,0.1147,0.0934,0.1359,118.14,0.755,,,,
L2CO,score_M2_Macrophage,leave:CESC+LUSC,30,0.1454,0.1242,0.1664,127.83,0.773,,,,
L2CO,score_Myeloid,leave:CESC+LUSC,30,0.1224,0.1012,0.1436,103.4,0.72,,,,
L2CO,score_M2_Macrophage,leave:CESC+MESO,30,0.1391,0.1184,0.1596,135.0,0.785,,,,
L2CO,score_Myeloid,leave:CESC+MESO,30,0.113,0.0922,0.1336,118.59,0.755,,,,
L2CO,score_M2_Macrophage,leave:CESC+OV,30,0.1399,0.1189,0.1609,135.09,0.785,,,,
L2CO,score_Myeloid,leave:CESC+OV,30,0.1132,0.092,0.1343,118.85,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+PAAD,30,0.141,0.1202,0.1616,132.25,0.781,,,,
L2CO,score_Myeloid,leave:CESC+PAAD,30,0.1139,0.093,0.1347,117.89,0.754,,,,
L2CO,score_M2_Macrophage,leave:CESC+PCPG,30,0.1333,0.1125,0.1539,124.42,0.767,,,,
L2CO,score_Myeloid,leave:CESC+PCPG,30,0.1058,0.0849,0.1266,100.22,0.711,,,,
L2CO,score_M2_Macrophage,leave:CESC+PRAD,30,0.134,0.1128,0.1551,132.85,0.782,,,,
L2CO,score_Myeloid,leave:CESC+PRAD,30,0.11,0.0887,0.1312,118.2,0.755,,,,
L2CO,score_M2_Macrophage,leave:CESC+READ,30,0.1389,0.1183,0.1595,135.2,0.786,,,,
L2CO,score_Myeloid,leave:CESC+READ,30,0.1129,0.0921,0.1336,118.68,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+SARC,30,0.143,0.1222,0.1638,128.57,0.774,,,,
L2CO,score_Myeloid,leave:CESC+SARC,30,0.1177,0.0967,0.1386,110.17,0.737,,,,
L2CO,score_M2_Macrophage,leave:CESC+SKCM,30,0.1367,0.116,0.1573,133.71,0.783,,,,
L2CO,score_Myeloid,leave:CESC+SKCM,30,0.1109,0.0901,0.1317,117.58,0.753,,,,
L2CO,score_M2_Macrophage,leave:CESC+STAD,30,0.1455,0.1244,0.1663,125.91,0.77,,,,
L2CO,score_Myeloid,leave:CESC+STAD,30,0.1167,0.0955,0.1378,115.43,0.749,,,,
L2CO,score_M2_Macrophage,leave:CESC+TGCT,30,0.1398,0.1191,0.1604,134.27,0.784,,,,
L2CO,score_Myeloid,leave:CESC+TGCT,30,0.1147,0.0938,0.1354,115.93,0.75,,,,
L2CO,score_M2_Macrophage,leave:CESC+THCA,30,0.1391,0.1179,0.1601,135.51,0.786,,,,
L2CO,score_Myeloid,leave:CESC+THCA,30,0.113,0.0917,0.1342,118.93,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+THYM,30,0.1325,0.1118,0.1531,113.25,0.744,,,,
L2CO,score_Myeloid,leave:CESC+THYM,30,0.108,0.0871,0.1287,106.6,0.728,,,,
L2CO,score_M2_Macrophage,leave:CESC+UCEC,30,0.1369,0.1162,0.1576,134.85,0.785,,,,
L2CO,score_Myeloid,leave:CESC+UCEC,30,0.1118,0.0909,0.1326,118.89,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+UCS,30,0.137,0.1164,0.1575,133.39,0.783,,,,
L2CO,score_Myeloid,leave:CESC+UCS,30,0.1109,0.0901,0.1315,116.18,0.75,,,,
L2CO,score_M2_Macrophage,leave:CESC+UVM,30,0.1399,0.1192,0.1604,132.84,0.782,,,,
L2CO,score_Myeloid,leave:CESC+UVM,30,0.1141,0.0934,0.1348,115.47,0.749,,,,
L2CO,score_M2_Macrophage,leave:CHOL+COAD,30,0.136,0.1155,0.1565,135.6,0.786,,,,
L2CO,score_Myeloid,leave:CHOL+COAD,30,0.1085,0.0877,0.1291,119.78,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+DLBC,30,0.1352,0.1149,0.1554,134.42,0.784,,,,
L2CO,score_Myeloid,leave:CHOL+DLBC,30,0.1093,0.0889,0.1297,120.02,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+ESCA,30,0.1392,0.1188,0.1596,130.72,0.778,,,,
L2CO,score_Myeloid,leave:CHOL+ESCA,30,0.1123,0.0917,0.1328,116.2,0.75,,,,
L2CO,score_M2_Macrophage,leave:CHOL+GBM,30,0.1358,0.1153,0.1561,135.57,0.786,,,,
L2CO,score_Myeloid,leave:CHOL+GBM,30,0.1089,0.0883,0.1294,119.9,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+HNSC,30,0.133,0.1122,0.1538,134.23,0.784,,,,
L2CO,score_Myeloid,leave:CHOL+HNSC,30,0.1119,0.0909,0.1328,119.07,0.756,,,,
L2CO,score_M2_Macrophage,leave:CHOL+KICH,30,0.1373,0.1169,0.1575,133.46,0.783,,,,
L2CO,score_Myeloid,leave:CHOL+KICH,30,0.1111,0.0906,0.1315,116.24,0.751,,,,
L2CO,score_M2_Macrophage,leave:CHOL+KIRC,30,0.1273,0.1063,0.1481,123.97,0.766,,,,
L2CO,score_Myeloid,leave:CHOL+KIRC,30,0.1001,0.0791,0.1211,107.14,0.729,,,,
L2CO,score_M2_Macrophage,leave:CHOL+KIRP,30,0.1358,0.1152,0.1562,135.58,0.786,,,,
L2CO,score_Myeloid,leave:CHOL+KIRP,30,0.1066,0.0859,0.1273,117.85,0.754,,,,
L2CO,score_M2_Macrophage,leave:CHOL+LGG,30,0.1235,0.1025,0.1443,110.72,0.738,,,,
L2CO,score_Myeloid,leave:CHOL+LGG,30,0.0977,0.0767,0.1187,98.63,0.706,,,,
L2CO,score_M2_Macrophage,leave:CHOL+LIHC,30,0.1316,0.1109,0.1522,131.32,0.779,,,,
L2CO,score_Myeloid,leave:CHOL+LIHC,30,0.1071,0.0863,0.1278,118.85,0.756,,,,
L2CO,score_M2_Macrophage,leave:CHOL+LUAD,30,0.143,0.1222,0.1637,127.8,0.773,,,,
L2CO,score_Myeloid,leave:CHOL+LUAD,30,0.1116,0.0906,0.1325,119.29,0.757,,,,
L2CO,score_M2_Macrophage,leave:CHOL+LUSC,30,0.1428,0.122,0.1635,128.12,0.774,,,,
L2CO,score_Myeloid,leave:CHOL+LUSC,30,0.1191,0.0982,0.1399,104.98,0.724,,,,
L2CO,score_M2_Macrophage,leave:CHOL+MESO,30,0.1368,0.1164,0.157,135.01,0.785,,,,
L2CO,score_Myeloid,leave:CHOL+MESO,30,0.11,0.0895,0.1304,119.65,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+OV,30,0.1375,0.1168,0.1582,135.14,0.785,,,,
L2CO,score_Myeloid,leave:CHOL+OV,30,0.1102,0.0893,0.131,119.93,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+PAAD,30,0.1386,0.1182,0.159,132.35,0.781,,,,
L2CO,score_Myeloid,leave:CHOL+PAAD,30,0.1109,0.0903,0.1314,119.0,0.756,,,,
L2CO,score_M2_Macrophage,leave:CHOL+PCPG,30,0.1311,0.1106,0.1515,124.21,0.767,,,,
L2CO,score_Myeloid,leave:CHOL+PCPG,30,0.1031,0.0824,0.1236,100.92,0.713,,,,
L2CO,score_M2_Macrophage,leave:CHOL+PRAD,30,0.1318,0.1109,0.1525,132.67,0.781,,,,
L2CO,score_Myeloid,leave:CHOL+PRAD,30,0.107,0.086,0.1279,119.1,0.757,,,,
L2CO,score_M2_Macrophage,leave:CHOL+READ,30,0.1366,0.1163,0.1569,135.21,0.786,,,,
L2CO,score_Myeloid,leave:CHOL+READ,30,0.11,0.0895,0.1304,119.74,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+SARC,30,0.1406,0.1201,0.161,128.75,0.775,,,,
L2CO,score_Myeloid,leave:CHOL+SARC,30,0.1146,0.0939,0.1351,111.49,0.74,,,,
L2CO,score_M2_Macrophage,leave:CHOL+SKCM,30,0.1345,0.1141,0.1548,133.63,0.783,,,,
L2CO,score_Myeloid,leave:CHOL+SKCM,30,0.1081,0.0876,0.1285,118.54,0.755,,,,
L2CO,score_M2_Macrophage,leave:CHOL+STAD,30,0.1429,0.1222,0.1635,126.2,0.77,,,,
L2CO,score_Myeloid,leave:CHOL+STAD,30,0.1135,0.0927,0.1343,116.69,0.751,,,,
L2CO,score_M2_Macrophage,leave:CHOL+TGCT,30,0.1375,0.1171,0.1578,134.32,0.784,,,,
L2CO,score_Myeloid,leave:CHOL+TGCT,30,0.1117,0.0911,0.1321,117.08,0.752,,,,
L2CO,score_M2_Macrophage,leave:CHOL+THCA,30,0.1367,0.1158,0.1574,135.52,0.786,,,,
L2CO,score_Myeloid,leave:CHOL+THCA,30,0.11,0.089,0.1308,119.99,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+THYM,30,0.1304,0.11,0.1507,113.01,0.743,,,,
L2CO,score_Myeloid,leave:CHOL+THYM,30,0.1052,0.0847,0.1257,107.41,0.73,,,,
L2CO,score_M2_Macrophage,leave:CHOL+UCEC,30,0.1347,0.1142,0.1551,134.78,0.785,,,,
L2CO,score_Myeloid,leave:CHOL+UCEC,30,0.1088,0.0882,0.1293,119.89,0.758,,,,
L2CO,score_M2_Macrophage,leave:CHOL+UCS,30,0.1348,0.1145,0.155,133.33,0.782,,,,
L2CO,score_Myeloid,leave:CHOL+UCS,30,0.108,0.0876,0.1284,117.14,0.752,,,,
L2CO,score_M2_Macrophage,leave:CHOL+UVM,30,0.1376,0.1172,0.1578,132.9,0.782,,,,
L2CO,score_Myeloid,leave:CHOL+UVM,30,0.1112,0.0907,0.1316,116.59,0.751,,,,
L2CO,score_M2_Macrophage,leave:COAD+DLBC,30,0.1358,0.1152,0.1563,135.23,0.786,,,,
L2CO,score_Myeloid,leave:COAD+DLBC,30,0.1088,0.0881,0.1295,120.31,0.759,,,,
L2CO,score_M2_Macrophage,leave:COAD+ESCA,30,0.14,0.1192,0.1606,131.48,0.779,,,,
L2CO,score_Myeloid,leave:COAD+ESCA,30,0.1119,0.091,0.1327,116.52,0.751,,,,
L2CO,score_M2_Macrophage,leave:COAD+GBM,30,0.1364,0.1157,0.157,136.36,0.787,,,,
L2CO,score_Myeloid,leave:COAD+GBM,30,0.1084,0.0875,0.1292,120.19,0.759,,,,
L2CO,score_M2_Macrophage,leave:COAD+HNSC,30,0.1336,0.1124,0.1547,135.06,0.785,,,,
L2CO,score_Myeloid,leave:COAD+HNSC,30,0.1115,0.0902,0.1327,119.38,0.757,,,,
L2CO,score_M2_Macrophage,leave:COAD+KICH,30,0.1379,0.1173,0.1584,134.24,0.784,,,,
L2CO,score_Myeloid,leave:COAD+KICH,30,0.1107,0.0899,0.1313,116.55,0.751,,,,
L2CO,score_M2_Macrophage,leave:COAD+KIRC,30,0.1276,0.1064,0.1488,124.84,0.768,,,,
L2CO,score_Myeloid,leave:COAD+KIRC,30,0.0993,0.078,0.1206,107.33,0.73,,,,
L2CO,score_M2_Macrophage,leave:COAD+KIRP,30,0.1364,0.1155,0.1572,136.38,0.787,,,,
L2CO,score_Myeloid,leave:COAD+KIRP,30,0.1061,0.085,0.127,118.11,0.754,,,,
L2CO,score_M2_Macrophage,leave:COAD+LGG,30,0.1237,0.1025,0.1449,111.62,0.74,,,,
L2CO,score_Myeloid,leave:COAD+LGG,30,0.0968,0.0755,0.1181,98.78,0.706,,,,
L2CO,score_M2_Macrophage,leave:COAD+LIHC,30,0.1321,0.1111,0.153,132.17,0.781,,,,
L2CO,score_Myeloid,leave:COAD+LIHC,30,0.1065,0.0854,0.1276,119.12,0.757,,,,
L2CO,score_M2_Macrophage,leave:COAD+LUAD,30,0.1439,0.1228,0.1649,128.5,0.774,,,,
L2CO,score_Myeloid,leave:COAD+LUAD,30,0.1112,0.0899,0.1324,119.6,0.758,,,,
L2CO,score_M2_Macrophage,leave:COAD+LUSC,30,0.1436,0.1225,0.1646,128.82,0.775,,,,
L2CO,score_Myeloid,leave:COAD+LUSC,30,0.1189,0.0976,0.14,105.33,0.725,,,,
L2CO,score_M2_Macrophage,leave:COAD+MESO,30,0.1374,0.1168,0.1579,135.8,0.786,,,,
L2CO,score_Myeloid,leave:COAD+MESO,30,0.1096,0.0888,0.1303,119.95,0.758,,,,
L2CO,score_M2_Macrophage,leave:COAD+OV,30,0.1382,0.1172,0.1592,135.92,0.787,,,,
L2CO,score_Myeloid,leave:COAD+OV,30,0.1097,0.0885,0.1308,120.23,0.759,,,,
L2CO,score_M2_Macrophage,leave:COAD+PAAD,30,0.1393,0.1186,0.1599,133.11,0.782,,,,
L2CO,score_Myeloid,leave:COAD+PAAD,30,0.1105,0.0896,0.1312,119.31,0.757,,,,
L2CO,score_M2_Macrophage,leave:COAD+PCPG,30,0.1316,0.1108,0.1523,125.06,0.768,,,,
L2CO,score_Myeloid,leave:COAD+PCPG,30,0.1024,0.0815,0.1232,101.15,0.713,,,,
L2CO,score_M2_Macrophage,leave:COAD+PRAD,30,0.1323,0.1111,0.1534,133.51,0.783,,,,
L2CO,score_Myeloid,leave:COAD+PRAD,30,0.1064,0.0851,0.1276,119.38,0.757,,,,
L2CO,score_M2_Macrophage,leave:COAD+READ,30,0.1373,0.1166,0.1578,136.0,0.787,,,,
L2CO,score_Myeloid,leave:COAD+READ,30,0.1095,0.0887,0.1302,120.04,0.758,,,,
L2CO,score_M2_Macrophage,leave:COAD+SARC,30,0.1414,0.1205,0.1621,129.49,0.776,,,,
L2CO,score_Myeloid,leave:COAD+SARC,30,0.1142,0.0933,0.1351,111.82,0.741,,,,
L2CO,score_M2_Macrophage,leave:COAD+SKCM,30,0.1351,0.1144,0.1556,134.44,0.784,,,,
L2CO,score_Myeloid,leave:COAD+SKCM,30,0.1076,0.0867,0.1283,118.82,0.756,,,,
L2CO,score_M2_Macrophage,leave:COAD+STAD,30,0.1437,0.1227,0.1646,126.9,0.771,,,,
L2CO,score_Myeloid,leave:COAD+STAD,30,0.1132,0.092,0.1342,117.02,0.752,,,,
L2CO,score_M2_Macrophage,leave:COAD+TGCT,30,0.1382,0.1174,0.1588,135.1,0.785,,,,
L2CO,score_Myeloid,leave:COAD+TGCT,30,0.1113,0.0904,0.132,117.4,0.753,,,,
L2CO,score_M2_Macrophage,leave:COAD+THCA,30,0.1374,0.1162,0.1584,136.31,0.787,,,,
L2CO,score_Myeloid,leave:COAD+THCA,30,0.1095,0.0882,0.1307,120.29,0.759,,,,
L2CO,score_M2_Macrophage,leave:COAD+THYM,30,0.1309,0.1102,0.1515,113.86,0.745,,,,
L2CO,score_Myeloid,leave:COAD+THYM,30,0.1046,0.0838,0.1253,107.66,0.731,,,,
L2CO,score_M2_Macrophage,leave:COAD+UCEC,30,0.1353,0.1145,0.1559,135.59,0.786,,,,
L2CO,score_Myeloid,leave:COAD+UCEC,30,0.1083,0.0874,0.1291,120.18,0.759,,,,
L2CO,score_M2_Macrophage,leave:COAD+UCS,30,0.1354,0.1148,0.1559,134.14,0.784,,,,
L2CO,score_Myeloid,leave:COAD+UCS,30,0.1075,0.0868,0.1282,117.42,0.753,,,,
L2CO,score_M2_Macrophage,leave:COAD+UVM,30,0.1382,0.1176,0.1587,133.67,0.783,,,,
L2CO,score_Myeloid,leave:COAD+UVM,30,0.1108,0.09,0.1314,116.9,0.752,,,,
L2CO,score_M2_Macrophage,leave:DLBC+ESCA,30,0.139,0.1185,0.1594,130.37,0.778,,,,
L2CO,score_Myeloid,leave:DLBC+ESCA,30,0.1127,0.0921,0.1332,116.71,0.752,,,,
L2CO,score_M2_Macrophage,leave:DLBC+GBM,30,0.1355,0.1151,0.1559,135.2,0.785,,,,
L2CO,score_Myeloid,leave:DLBC+GBM,30,0.1093,0.0887,0.1297,120.43,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+HNSC,30,0.1328,0.1119,0.1536,133.85,0.783,,,,
L2CO,score_Myeloid,leave:DLBC+HNSC,30,0.1123,0.0913,0.1332,119.58,0.757,,,,
L2CO,score_M2_Macrophage,leave:DLBC+KICH,30,0.137,0.1167,0.1573,133.09,0.782,,,,
L2CO,score_Myeloid,leave:DLBC+KICH,30,0.1115,0.091,0.1318,116.76,0.752,,,,
L2CO,score_M2_Macrophage,leave:DLBC+KIRC,30,0.127,0.1061,0.1478,123.56,0.765,,,,
L2CO,score_Myeloid,leave:DLBC+KIRC,30,0.1005,0.0794,0.1215,107.73,0.731,,,,
L2CO,score_M2_Macrophage,leave:DLBC+KIRP,30,0.1355,0.1149,0.156,135.21,0.786,,,,
L2CO,score_Myeloid,leave:DLBC+KIRP,30,0.107,0.0863,0.1277,118.39,0.755,,,,
L2CO,score_M2_Macrophage,leave:DLBC+LGG,30,0.1232,0.1023,0.1441,110.3,0.737,,,,
L2CO,score_Myeloid,leave:DLBC+LGG,30,0.0981,0.077,0.119,99.23,0.708,,,,
L2CO,score_M2_Macrophage,leave:DLBC+LIHC,30,0.1314,0.1107,0.152,130.94,0.779,,,,
L2CO,score_Myeloid,leave:DLBC+LIHC,30,0.1075,0.0866,0.1282,119.39,0.757,,,,
L2CO,score_M2_Macrophage,leave:DLBC+LUAD,30,0.1428,0.122,0.1635,127.46,0.772,,,,
L2CO,score_Myeloid,leave:DLBC+LUAD,30,0.112,0.091,0.1329,119.81,0.758,,,,
L2CO,score_M2_Macrophage,leave:DLBC+LUSC,30,0.1426,0.1217,0.1633,127.78,0.773,,,,
L2CO,score_Myeloid,leave:DLBC+LUSC,30,0.1195,0.0985,0.1403,105.44,0.725,,,,
L2CO,score_M2_Macrophage,leave:DLBC+MESO,30,0.1365,0.1162,0.1568,134.65,0.785,,,,
L2CO,score_Myeloid,leave:DLBC+MESO,30,0.1104,0.0899,0.1308,120.18,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+OV,30,0.1373,0.1165,0.1579,134.78,0.785,,,,
L2CO,score_Myeloid,leave:DLBC+OV,30,0.1106,0.0897,0.1313,120.45,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+PAAD,30,0.1384,0.1179,0.1587,131.99,0.78,,,,
L2CO,score_Myeloid,leave:DLBC+PAAD,30,0.1113,0.0907,0.1318,119.52,0.757,,,,
L2CO,score_M2_Macrophage,leave:DLBC+PCPG,30,0.1309,0.1104,0.1513,123.82,0.766,,,,
L2CO,score_Myeloid,leave:DLBC+PCPG,30,0.1034,0.0828,0.1239,101.49,0.714,,,,
L2CO,score_M2_Macrophage,leave:DLBC+PRAD,30,0.1315,0.1107,0.1523,132.28,0.781,,,,
L2CO,score_Myeloid,leave:DLBC+PRAD,30,0.1074,0.0864,0.1283,119.65,0.758,,,,
L2CO,score_M2_Macrophage,leave:DLBC+READ,30,0.1364,0.116,0.1567,134.85,0.785,,,,
L2CO,score_Myeloid,leave:DLBC+READ,30,0.1103,0.0898,0.1307,120.27,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+SARC,30,0.1404,0.1198,0.1608,128.4,0.774,,,,
L2CO,score_Myeloid,leave:DLBC+SARC,30,0.1149,0.0943,0.1355,111.98,0.741,,,,
L2CO,score_M2_Macrophage,leave:DLBC+SKCM,30,0.1343,0.1139,0.1545,133.25,0.782,,,,
L2CO,score_Myeloid,leave:DLBC+SKCM,30,0.1084,0.0879,0.1289,119.08,0.756,,,,
L2CO,score_M2_Macrophage,leave:DLBC+STAD,30,0.1427,0.1219,0.1633,125.86,0.77,,,,
L2CO,score_Myeloid,leave:DLBC+STAD,30,0.1139,0.0931,0.1347,117.19,0.753,,,,
L2CO,score_M2_Macrophage,leave:DLBC+TGCT,30,0.1373,0.1168,0.1576,133.95,0.784,,,,
L2CO,score_Myeloid,leave:DLBC+TGCT,30,0.1121,0.0915,0.1325,117.59,0.753,,,,
L2CO,score_M2_Macrophage,leave:DLBC+THCA,30,0.1365,0.1156,0.1572,135.16,0.785,,,,
L2CO,score_Myeloid,leave:DLBC+THCA,30,0.1103,0.0894,0.1312,120.51,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+THYM,30,0.1302,0.1097,0.1505,112.61,0.742,,,,
L2CO,score_Myeloid,leave:DLBC+THYM,30,0.1056,0.085,0.126,107.96,0.731,,,,
L2CO,score_M2_Macrophage,leave:DLBC+UCEC,30,0.1345,0.114,0.1548,134.41,0.784,,,,
L2CO,score_Myeloid,leave:DLBC+UCEC,30,0.1092,0.0886,0.1297,120.42,0.759,,,,
L2CO,score_M2_Macrophage,leave:DLBC+UCS,30,0.1346,0.1142,0.1548,132.95,0.782,,,,
L2CO,score_Myeloid,leave:DLBC+UCS,30,0.1084,0.0879,0.1288,117.68,0.754,,,,
L2CO,score_M2_Macrophage,leave:DLBC+UVM,30,0.1373,0.117,0.1576,132.53,0.781,,,,
L2CO,score_Myeloid,leave:DLBC+UVM,30,0.1115,0.0911,0.1319,117.11,0.752,,,,
L2CO,score_M2_Macrophage,leave:ESCA+GBM,30,0.1396,0.119,0.1601,131.47,0.779,,,,
L2CO,score_Myeloid,leave:ESCA+GBM,30,0.1123,0.0916,0.1329,116.61,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+HNSC,30,0.137,0.116,0.1579,130.32,0.777,,,,
L2CO,score_Myeloid,leave:ESCA+HNSC,30,0.1155,0.0944,0.1366,115.59,0.749,,,,
L2CO,score_M2_Macrophage,leave:ESCA+KICH,30,0.1411,0.1206,0.1614,129.26,0.776,,,,
L2CO,score_Myeloid,leave:ESCA+KICH,30,0.1145,0.0939,0.135,112.82,0.743,,,,
L2CO,score_M2_Macrophage,leave:ESCA+KIRC,30,0.1311,0.11,0.1521,120.46,0.759,,,,
L2CO,score_Myeloid,leave:ESCA+KIRC,30,0.1035,0.0823,0.1247,104.38,0.722,,,,
L2CO,score_M2_Macrophage,leave:ESCA+KIRP,30,0.1397,0.1189,0.1603,131.48,0.779,,,,
L2CO,score_Myeloid,leave:ESCA+KIRP,30,0.11,0.0891,0.1308,114.7,0.747,,,,
L2CO,score_M2_Macrophage,leave:ESCA+LGG,30,0.1273,0.1062,0.1482,107.47,0.73,,,,
L2CO,score_Myeloid,leave:ESCA+LGG,30,0.1011,0.0799,0.1222,96.01,0.698,,,,
L2CO,score_M2_Macrophage,leave:ESCA+LIHC,30,0.1355,0.1146,0.1562,127.52,0.773,,,,
L2CO,score_Myeloid,leave:ESCA+LIHC,30,0.1105,0.0895,0.1314,115.68,0.749,,,,
L2CO,score_M2_Macrophage,leave:ESCA+LUAD,30,0.1472,0.1262,0.168,123.17,0.765,,,,
L2CO,score_Myeloid,leave:ESCA+LUAD,30,0.1152,0.094,0.1362,115.84,0.75,,,,
L2CO,score_M2_Macrophage,leave:ESCA+LUSC,30,0.1469,0.1259,0.1677,123.51,0.765,,,,
L2CO,score_Myeloid,leave:ESCA+LUSC,30,0.1228,0.1017,0.1438,101.04,0.713,,,,
L2CO,score_M2_Macrophage,leave:ESCA+MESO,30,0.1406,0.1201,0.161,130.85,0.778,,,,
L2CO,score_Myeloid,leave:ESCA+MESO,30,0.1134,0.0928,0.134,116.3,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+OV,30,0.1415,0.1206,0.1623,130.92,0.778,,,,
L2CO,score_Myeloid,leave:ESCA+OV,30,0.1137,0.0927,0.1346,116.56,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+PAAD,30,0.1425,0.1219,0.163,128.04,0.774,,,,
L2CO,score_Myeloid,leave:ESCA+PAAD,30,0.1143,0.0936,0.135,115.59,0.749,,,,
L2CO,score_M2_Macrophage,leave:ESCA+PCPG,30,0.1349,0.1143,0.1554,120.44,0.759,,,,
L2CO,score_Myeloid,leave:ESCA+PCPG,30,0.1064,0.0856,0.127,97.99,0.704,,,,
L2CO,score_M2_Macrophage,leave:ESCA+PRAD,30,0.1357,0.1147,0.1566,128.85,0.775,,,,
L2CO,score_Myeloid,leave:ESCA+PRAD,30,0.1105,0.0894,0.1315,115.93,0.75,,,,
L2CO,score_M2_Macrophage,leave:ESCA+READ,30,0.1405,0.12,0.1609,131.06,0.779,,,,
L2CO,score_Myeloid,leave:ESCA+READ,30,0.1134,0.0927,0.1339,116.39,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+SARC,30,0.1446,0.1239,0.1651,124.31,0.767,,,,
L2CO,score_Myeloid,leave:ESCA+SARC,30,0.1181,0.0973,0.1388,107.84,0.731,,,,
L2CO,score_M2_Macrophage,leave:ESCA+SKCM,30,0.1383,0.1177,0.1587,129.62,0.776,,,,
L2CO,score_Myeloid,leave:ESCA+SKCM,30,0.1114,0.0908,0.132,115.31,0.748,,,,
L2CO,score_M2_Macrophage,leave:ESCA+STAD,30,0.147,0.1261,0.1677,121.58,0.761,,,,
L2CO,score_Myeloid,leave:ESCA+STAD,30,0.1171,0.0961,0.138,113.11,0.744,,,,
L2CO,score_M2_Macrophage,leave:ESCA+TGCT,30,0.1414,0.1208,0.1618,130.1,0.777,,,,
L2CO,score_Myeloid,leave:ESCA+TGCT,30,0.1151,0.0944,0.1357,113.62,0.745,,,,
L2CO,score_M2_Macrophage,leave:ESCA+THCA,30,0.1407,0.1197,0.1616,131.35,0.779,,,,
L2CO,score_Myeloid,leave:ESCA+THCA,30,0.1135,0.0924,0.1346,116.63,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+THYM,30,0.1342,0.1136,0.1546,109.28,0.735,,,,
L2CO,score_Myeloid,leave:ESCA+THYM,30,0.1085,0.0878,0.1291,104.35,0.722,,,,
L2CO,score_M2_Macrophage,leave:ESCA+UCEC,30,0.1385,0.1179,0.159,130.76,0.778,,,,
L2CO,score_Myeloid,leave:ESCA+UCEC,30,0.1122,0.0915,0.1329,116.61,0.751,,,,
L2CO,score_M2_Macrophage,leave:ESCA+UCS,30,0.1386,0.1181,0.1589,129.3,0.776,,,,
